original_filename,new_filename,country_code,country_name,confidence,method
Asset 100_2x.png,JPN.png,JPN,Japan,0.9,heuristic
Asset 101_2x.png,JPN_1.png,JPN,Japan,0.9,heuristic
Asset 102_2x.png,JPN_2.png,JPN,Japan,0.9,heuristic
Asset 103_2x.png,JPN_3.png,JPN,Japan,0.9,heuristic
Asset 104_2x.png,JPN_4.png,JPN,Japan,0.9,heuristic
Asset 105_2x.png,JPN_5.png,JPN,Japan,0.9,heuristic
Asset 106_2x.png,JPN_6.png,JPN,Japan,0.9,heuristic
Asset 107_2x.png,JPN_7.png,JPN,Japan,0.9,heuristic
Asset 108_2x.png,JPN_8.png,JPN,Japan,0.9,heuristic
Asset 109_2x.png,,,,0.0,heuristic
Asset 10_2x.png,JPN_9.png,JPN,Japan,0.9,heuristic
Asset 110_2x.png,,,,0.0,heuristic
Asset 111_2x.png,,,,0.0,heuristic
Asset 112_2x.png,,,,0.0,heuristic
Asset 113_2x.png,ITA.png,ITA,Italy,0.95,heuristic
Asset 114_2x.png,JPN_10.png,JPN,Japan,0.9,heuristic
Asset 115_2x.png,,,,0.0,heuristic
Asset 116_2x.png,JPN_11.png,JPN,Japan,0.9,heuristic
Asset 117_2x.png,JPN_12.png,JPN,Japan,0.9,heuristic
Asset 118_2x.png,JPN_13.png,JPN,Japan,0.9,heuristic
Asset 119_2x.png,,,,0.0,heuristic
Asset 11_2x.png,JPN_14.png,JPN,Japan,0.9,heuristic
Asset 120_2x.png,JPN_15.png,JPN,Japan,0.9,heuristic
Asset 121_2x.png,,,,0.0,heuristic
Asset 122_2x.png,JPN_16.png,JPN,Japan,0.9,heuristic
Asset 123_2x.png,,,,0.0,heuristic
Asset 124_2x.png,,,,0.0,heuristic
Asset 125_2x.png,,,,0.0,heuristic
Asset 126_2x.png,JPN_17.png,JPN,Japan,0.9,heuristic
Asset 127_2x.png,,,,0.0,heuristic
Asset 128_2x.png,JPN_18.png,JPN,Japan,0.9,heuristic
Asset 129_2x.png,JPN_19.png,JPN,Japan,0.9,heuristic
Asset 12_2x.png,JPN_20.png,JPN,Japan,0.9,heuristic
Asset 130_2x.png,,,,0.0,heuristic
Asset 131_2x.png,,,,0.0,heuristic
Asset 132_2x.png,JPN_21.png,JPN,Japan,0.9,heuristic
Asset 133_2x.png,JPN_22.png,JPN,Japan,0.9,heuristic
Asset 134_2x.png,,,,0.0,heuristic
Asset 135_2x.png,JPN_23.png,JPN,Japan,0.9,heuristic
Asset 136_2x.png,JPN_24.png,JPN,Japan,0.9,heuristic
Asset 137_2x.png,,,,0.0,heuristic
Asset 138_2x.png,,,,0.0,heuristic
Asset 139_2x.png,JPN_25.png,JPN,Japan,0.9,heuristic
Asset 13_2x.png,JPN_26.png,JPN,Japan,0.9,heuristic
Asset 140_2x.png,JPN_27.png,JPN,Japan,0.9,heuristic
Asset 141_2x.png,,,,0.0,heuristic
Asset 142_2x.png,JPN_28.png,JPN,Japan,0.9,heuristic
Asset 143_2x.png,,,,0.0,heuristic
Asset 144_2x.png,JPN_29.png,JPN,Japan,0.9,heuristic
Asset 145_2x.png,,,,0.0,heuristic
Asset 146_2x.png,JPN_30.png,JPN,Japan,0.9,heuristic
Asset 147_2x.png,JPN_31.png,JPN,Japan,0.9,heuristic
Asset 148_2x.png,JPN_32.png,JPN,Japan,0.9,heuristic
Asset 149_2x.png,JPN_33.png,JPN,Japan,0.9,heuristic
Asset 14_2x.png,,,,0.0,heuristic
Asset 150_2x.png,JPN_34.png,JPN,Japan,0.9,heuristic
Asset 151_2x.png,JPN_35.png,JPN,Japan,0.9,heuristic
Asset 152_2x.png,JPN_36.png,JPN,Japan,0.9,heuristic
Asset 153_2x.png,JPN_37.png,JPN,Japan,0.9,heuristic
Asset 154_2x.png,JPN_38.png,JPN,Japan,0.9,heuristic
Asset 155_2x.png,JPN_39.png,JPN,Japan,0.9,heuristic
Asset 156_2x.png,JPN_40.png,JPN,Japan,0.9,heuristic
Asset 157_2x.png,JPN_41.png,JPN,Japan,0.9,heuristic
Asset 158_2x.png,JPN_42.png,JPN,Japan,0.9,heuristic
Asset 159_2x.png,JPN_43.png,JPN,Japan,0.9,heuristic
Asset 15_2x.png,,,,0.0,heuristic
Asset 160_2x.png,USA.png,USA,United States,0.95,heuristic
Asset 161_2x.png,JPN_44.png,JPN,Japan,0.9,heuristic
Asset 162_2x.png,JPN_45.png,JPN,Japan,0.9,heuristic
Asset 163_2x.png,JPN_46.png,JPN,Japan,0.9,heuristic
Asset 164_2x.png,JPN_47.png,JPN,Japan,0.9,heuristic
Asset 165_2x.png,JPN_48.png,JPN,Japan,0.9,heuristic
Asset 166_2x.png,,,,0.0,heuristic
Asset 167_2x.png,JPN_49.png,JPN,Japan,0.9,heuristic
Asset 168_2x.png,JPN_50.png,JPN,Japan,0.9,heuristic
Asset 169_2x.png,JPN_51.png,JPN,Japan,0.9,heuristic
Asset 16_2x.png,JPN_52.png,JPN,Japan,0.9,heuristic
Asset 170_2x.png,JPN_53.png,JPN,Japan,0.9,heuristic
Asset 171_2x.png,,,,0.0,heuristic
Asset 172_2x.png,JPN_54.png,JPN,Japan,0.9,heuristic
Asset 173_2x.png,,,,0.0,heuristic
Asset 174_2x.png,JPN_55.png,JPN,Japan,0.9,heuristic
Asset 175_2x.png,JPN_56.png,JPN,Japan,0.9,heuristic
Asset 176_2x.png,JPN_57.png,JPN,Japan,0.9,heuristic
Asset 177_2x.png,JPN_58.png,JPN,Japan,0.9,heuristic
Asset 178_2x.png,JPN_59.png,JPN,Japan,0.9,heuristic
Asset 179_2x.png,,,,0.0,heuristic
Asset 17_2x.png,JPN_60.png,JPN,Japan,0.9,heuristic
Asset 180_2x.png,JPN_61.png,JPN,Japan,0.9,heuristic
Asset 181_2x.png,,,,0.0,heuristic
Asset 182_2x.png,JPN_62.png,JPN,Japan,0.9,heuristic
Asset 183_2x.png,JPN_63.png,JPN,Japan,0.9,heuristic
Asset 184_2x.png,JPN_64.png,JPN,Japan,0.9,heuristic
Asset 185_2x.png,JPN_65.png,JPN,Japan,0.9,heuristic
Asset 186_2x.png,JPN_66.png,JPN,Japan,0.9,heuristic
Asset 187_2x.png,JPN_67.png,JPN,Japan,0.9,heuristic
Asset 188_2x.png,JPN_68.png,JPN,Japan,0.9,heuristic
Asset 189_2x.png,,,,0.0,heuristic
Asset 18_2x.png,JPN_69.png,JPN,Japan,0.9,heuristic
Asset 190_2x.png,JPN_70.png,JPN,Japan,0.9,heuristic
Asset 191_2x.png,JPN_71.png,JPN,Japan,0.9,heuristic
Asset 192_2x.png,JPN_72.png,JPN,Japan,0.9,heuristic
Asset 193_2x.png,JPN_73.png,JPN,Japan,0.9,heuristic
Asset 194_2x.png,JPN_74.png,JPN,Japan,0.9,heuristic
Asset 195_2x.png,JPN_75.png,JPN,Japan,0.9,heuristic
Asset 196_2x.png,,,,0.0,heuristic
Asset 197_2x.png,JPN_76.png,JPN,Japan,0.9,heuristic
Asset 198_2x.png,JPN_77.png,JPN,Japan,0.9,heuristic
Asset 199_2x.png,JPN_78.png,JPN,Japan,0.9,heuristic
Asset 19_2x.png,,,,0.0,heuristic
Asset 1_2x.png,JPN_79.png,JPN,Japan,0.9,heuristic
Asset 200_2x.png,JPN_80.png,JPN,Japan,0.9,heuristic
Asset 201_2x.png,JPN_81.png,JPN,Japan,0.9,heuristic
Asset 202_2x.png,JPN_82.png,JPN,Japan,0.9,heuristic
Asset 203_2x.png,JPN_83.png,JPN,Japan,0.9,heuristic
Asset 204_2x.png,JPN_84.png,JPN,Japan,0.9,heuristic
Asset 205_2x.png,JPN_85.png,JPN,Japan,0.9,heuristic
Asset 206_2x.png,JPN_86.png,JPN,Japan,0.9,heuristic
Asset 207_2x.png,,,,0.0,heuristic
Asset 208_2x.png,JPN_87.png,JPN,Japan,0.9,heuristic
Asset 209_2x.png,JPN_88.png,JPN,Japan,0.9,heuristic
Asset 20_2x.png,JPN_89.png,JPN,Japan,0.9,heuristic
Asset 210_2x.png,JPN_90.png,JPN,Japan,0.9,heuristic
Asset 211_2x.png,,,,0.0,heuristic
Asset 212_2x.png,,,,0.0,heuristic
Asset 213_2x.png,JPN_91.png,JPN,Japan,0.9,heuristic
Asset 214_2x.png,,,,0.0,heuristic
Asset 215_2x.png,JPN_92.png,JPN,Japan,0.9,heuristic
Asset 216_2x.png,JPN_93.png,JPN,Japan,0.9,heuristic
Asset 217_2x.png,JPN_94.png,JPN,Japan,0.9,heuristic
Asset 218_2x.png,JPN_95.png,JPN,Japan,0.9,heuristic
Asset 219_2x.png,JPN_96.png,JPN,Japan,0.9,heuristic
Asset 21_2x.png,JPN_97.png,JPN,Japan,0.9,heuristic
Asset 220_2x.png,JPN_98.png,JPN,Japan,0.9,heuristic
Asset 221_2x.png,CHN.png,CHN,China,0.9,heuristic
Asset 222_2x.png,JPN_99.png,JPN,Japan,0.9,heuristic
Asset 223_2x.png,JPN_100.png,JPN,Japan,0.9,heuristic
Asset 224_2x.png,GER.png,GER,Germany,0.95,heuristic
Asset 225_2x.png,JPN_101.png,JPN,Japan,0.9,heuristic
Asset 226_2x.png,JPN_102.png,JPN,Japan,0.9,heuristic
Asset 227_2x.png,JPN_103.png,JPN,Japan,0.9,heuristic
Asset 228_2x.png,JPN_104.png,JPN,Japan,0.9,heuristic
Asset 229_2x.png,JPN_105.png,JPN,Japan,0.9,heuristic
Asset 22_2x.png,,,,0.0,heuristic
Asset 230_2x.png,JPN_106.png,JPN,Japan,0.9,heuristic
Asset 231_2x.png,JPN_107.png,JPN,Japan,0.9,heuristic
Asset 232_2x.png,,,,0.0,heuristic
Asset 233_2x.png,JPN_108.png,JPN,Japan,0.9,heuristic
Asset 234_2x.png,JPN_109.png,JPN,Japan,0.9,heuristic
Asset 235_2x.png,JPN_110.png,JPN,Japan,0.9,heuristic
Asset 236_2x.png,,,,0.0,heuristic
Asset 237_2x.png,JPN_111.png,JPN,Japan,0.9,heuristic
Asset 238_2x.png,JPN_112.png,JPN,Japan,0.9,heuristic
Asset 239_2x.png,JPN_113.png,JPN,Japan,0.9,heuristic
Asset 23_2x.png,JPN_114.png,JPN,Japan,0.9,heuristic
Asset 24_2x.png,JPN_115.png,JPN,Japan,0.9,heuristic
Asset 25_2x.png,JPN_116.png,JPN,Japan,0.9,heuristic
Asset 26_2x.png,JPN_117.png,JPN,Japan,0.9,heuristic
Asset 27_2x.png,JPN_118.png,JPN,Japan,0.9,heuristic
Asset 28_2x.png,JPN_119.png,JPN,Japan,0.9,heuristic
Asset 29_2x.png,JPN_120.png,JPN,Japan,0.9,heuristic
Asset 30_2x.png,,,,0.0,heuristic
Asset 31_2x.png,,,,0.0,heuristic
Asset 32_2x.png,JPN_121.png,JPN,Japan,0.9,heuristic
Asset 33_2x.png,JPN_122.png,JPN,Japan,0.9,heuristic
Asset 34_2x.png,JPN_123.png,JPN,Japan,0.9,heuristic
Asset 35_2x.png,JPN_124.png,JPN,Japan,0.9,heuristic
Asset 36_2x.png,,,,0.0,heuristic
Asset 37_2x.png,JPN_125.png,JPN,Japan,0.9,heuristic
Asset 38_2x.png,JPN_126.png,JPN,Japan,0.9,heuristic
Asset 39_2x.png,JPN_127.png,JPN,Japan,0.9,heuristic
Asset 3_2x.png,JPN_128.png,JPN,Japan,0.9,heuristic
Asset 40_2x.png,,,,0.0,heuristic
Asset 41_2x.png,JPN_129.png,JPN,Japan,0.9,heuristic
Asset 42_2x.png,JPN_130.png,JPN,Japan,0.9,heuristic
Asset 43_2x.png,JPN_131.png,JPN,Japan,0.9,heuristic
Asset 44_2x.png,,,,0.0,heuristic
Asset 45_2x.png,,,,0.0,heuristic
Asset 46_2x.png,,,,0.0,heuristic
Asset 47_2x.png,JPN_132.png,JPN,Japan,0.9,heuristic
Asset 48_2x.png,JPN_133.png,JPN,Japan,0.9,heuristic
Asset 49_2x.png,JPN_134.png,JPN,Japan,0.9,heuristic
Asset 4_2x.png,,,,0.0,heuristic
Asset 50_2x.png,JPN_135.png,JPN,Japan,0.9,heuristic
Asset 51_2x.png,,,,0.0,heuristic
Asset 52_2x.png,JPN_136.png,JPN,Japan,0.9,heuristic
Asset 53_2x.png,ITA_1.png,ITA,Italy,0.95,heuristic
Asset 54_2x.png,,,,0.0,heuristic
Asset 55_2x.png,JPN_137.png,JPN,Japan,0.9,heuristic
Asset 56_2x.png,CHN_1.png,CHN,China,0.9,heuristic
Asset 57_2x.png,JPN_138.png,JPN,Japan,0.9,heuristic
Asset 58_2x.png,JPN_139.png,JPN,Japan,0.9,heuristic
Asset 59_2x.png,JPN_140.png,JPN,Japan,0.9,heuristic
Asset 5_2x.png,JPN_141.png,JPN,Japan,0.9,heuristic
Asset 60_2x.png,,,,0.0,heuristic
Asset 61_2x.png,JPN_142.png,JPN,Japan,0.9,heuristic
Asset 62_2x.png,,,,0.0,heuristic
Asset 63_2x.png,,,,0.0,heuristic
Asset 64_2x.png,JPN_143.png,JPN,Japan,0.9,heuristic
Asset 65_2x.png,,,,0.0,heuristic
Asset 66_2x.png,JPN_144.png,JPN,Japan,0.9,heuristic
Asset 67_2x.png,JPN_145.png,JPN,Japan,0.9,heuristic
Asset 68_2x.png,JPN_146.png,JPN,Japan,0.9,heuristic
Asset 69_2x.png,JPN_147.png,JPN,Japan,0.9,heuristic
Asset 6_2x.png,JPN_148.png,JPN,Japan,0.9,heuristic
Asset 70_2x.png,,,,0.0,heuristic
Asset 71_2x.png,JPN_149.png,JPN,Japan,0.9,heuristic
Asset 72_2x.png,,,,0.0,heuristic
Asset 73_2x.png,JPN_150.png,JPN,Japan,0.9,heuristic
Asset 74_2x.png,JPN_151.png,JPN,Japan,0.9,heuristic
Asset 75_2x.png,JPN_152.png,JPN,Japan,0.9,heuristic
Asset 76_2x.png,JPN_153.png,JPN,Japan,0.9,heuristic
Asset 77_2x.png,,,,0.0,heuristic
Asset 78_2x.png,JPN_154.png,JPN,Japan,0.9,heuristic
Asset 79_2x.png,JPN_155.png,JPN,Japan,0.9,heuristic
Asset 7_2x.png,JPN_156.png,JPN,Japan,0.9,heuristic
Asset 80_2x.png,JPN_157.png,JPN,Japan,0.9,heuristic
Asset 81_2x.png,JPN_158.png,JPN,Japan,0.9,heuristic
Asset 82_2x.png,JPN_159.png,JPN,Japan,0.9,heuristic
Asset 83_2x.png,JPN_160.png,JPN,Japan,0.9,heuristic
Asset 84_2x.png,JPN_161.png,JPN,Japan,0.9,heuristic
Asset 85_2x.png,,,,0.0,heuristic
Asset 86_2x.png,JPN_162.png,JPN,Japan,0.9,heuristic
Asset 87_2x.png,JPN_163.png,JPN,Japan,0.9,heuristic
Asset 88_2x.png,,,,0.0,heuristic
Asset 89_2x.png,,,,0.0,heuristic
Asset 8_2x.png,JPN_164.png,JPN,Japan,0.9,heuristic
Asset 90_2x.png,JPN_165.png,JPN,Japan,0.9,heuristic
Asset 91_2x.png,JPN_166.png,JPN,Japan,0.9,heuristic
Asset 92_2x.png,,,,0.0,heuristic
Asset 93_2x.png,,,,0.0,heuristic
Asset 94_2x.png,,,,0.0,heuristic
Asset 95_2x.png,JPN_167.png,JPN,Japan,0.9,heuristic
Asset 96_2x.png,,,,0.0,heuristic
Asset 97_2x.png,,,,0.0,heuristic
Asset 98_2x.png,JPN_168.png,JPN,Japan,0.9,heuristic
Asset 99_2x.png,,,,0.0,heuristic
Asset 9_2x.png,JPN_169.png,JPN,Japan,0.9,heuristic
